size,threads,method,time_s
1000,0,Classic,1.10581
1000,1,Threads,0.643192
1000,1,Async,0.666201
1000,2,Threads,0.335759
1000,2,Async,0.337751
1000,4,Threads,0.174975
1000,4,Async,0.176862
1000,8,Threads,0.175727
1000,8,Async,0.190538
1000,10,Threads,0.167216
1000,10,Async,0.160695
1000,12,Threads,0.152235
1000,12,Async,0.138351
1000,16,Threads,0.126551
1000,16,Async,0.135745
1000,24,Threads,0.128174
1000,24,Async,0.132494
1200,0,Classic,2.21797
1200,1,Threads,1.24112
1200,1,Async,1.14511
1200,2,Threads,0.588672
1200,2,Async,0.611163
1200,4,Threads,0.307069
1200,4,Async,0.306704
1200,8,Threads,0.278894
1200,8,Async,0.294281
1200,10,Threads,0.279429
1200,10,Async,0.283708
1200,12,Threads,0.230093
1200,12,Async,0.245009
1200,16,Threads,0.21643
1200,16,Async,0.205627
1200,24,Threads,0.217981
1200,24,Async,0.218756
1500,0,Classic,5.29816
1500,1,Threads,2.30011
1500,1,Async,2.37601
1500,2,Threads,1.15824
1500,2,Async,1.15963
1500,4,Threads,0.638537
1500,4,Async,0.950465
1500,8,Threads,0.566631
1500,8,Async,0.552337
1500,10,Threads,0.46214
1500,10,Async,0.485925
1500,12,Threads,0.449621
1500,12,Async,0.489784
1500,16,Threads,0.400386
1500,16,Async,0.409747
1500,24,Threads,0.415325
1500,24,Async,0.44894
1800,0,Classic,11.9682
1800,1,Threads,4.22948
1800,1,Async,4.04788
1800,2,Threads,2.15489
1800,2,Async,2.08141
1800,4,Threads,1.12315
1800,4,Async,1.1382
1800,8,Threads,0.991746
1800,8,Async,1.0334
1800,10,Threads,0.86233
1800,10,Async,0.827506
1800,12,Threads,0.798338
1800,12,Async,0.812039
1800,16,Threads,0.744511
1800,16,Async,0.753119
1800,24,Threads,0.834994
1800,24,Async,0.872636
2000,0,Classic,27.8632
2000,1,Threads,5.82146
2000,1,Async,5.70595
2000,2,Threads,3.09506
2000,2,Async,3.18522
2000,4,Threads,1.95886
2000,4,Async,1.84102
2000,8,Threads,1.22063
2000,8,Async,1.35269
2000,10,Threads,1.12827
2000,10,Async,1.26858
2000,12,Threads,1.15935
2000,12,Async,1.12748
2000,16,Threads,1.10964
2000,16,Async,1.10577
2000,24,Threads,1.37257
2000,24,Async,1.49333
