impl,phase,producers,consumers,per,capacity,total_ops,elapsed_s,throughput_ops_s,samples,mean_us,p50_us,p90_us,p99_us,p999_us,max_us
LockFreeQueue,overall,1,1,200000,65536,200000,0.022124,9039778.9,200000,1743.3,1841,3408,4251,4261,4261
MutexQueue,overall,1,1,200000,65536,200000,0.041718,4794116.0,200000,3504.0,4140,5461,6943,7126,7137
LockFreeQueue,overall,1,2,200000,65536,200000,0.035432,5644555.9,200000,190.9,30,590,994,1025,1027
MutexQueue,overall,1,2,200000,65536,200000,0.055767,3586355.4,200000,27.1,15,69,144,193,223
LockFreeQueue,overall,1,4,200000,65536,200000,0.057329,3488609.1,200000,4.3,0,0,195,339,347
MutexQueue,overall,1,4,200000,65536,200000,0.110337,1812627.0,200000,12.9,5,36,66,107,168
LockFreeQueue,overall,1,8,200000,65536,200000,0.083974,2381680.2,200000,4.5,0,0,193,423,439
MutexQueue,overall,1,8,200000,65536,200000,0.321998,621121.8,200000,5.3,2,13,49,97,237
LockFreeQueue,overall,2,1,200000,65536,400000,0.059141,6763491.6,400000,5696.9,5703,10997,12159,12629,12658
MutexQueue,overall,2,1,200000,65536,400000,0.717210,557716.8,400000,116300.0,136148,173363,210438,212596,213973
LockFreeQueue,overall,4,1,200000,65536,800000,0.192592,4153864.4,800000,14117.9,15860,19130,20362,20449,20519
MutexQueue,overall,4,1,200000,65536,800000,3.506796,228128.5,800000,286416.8,314262,389561,415765,422211,425660
LockFreeQueue,overall,8,1,200000,65536,1600000,0.556494,2875141.5,1600000,22156.7,24121,28665,32814,32952,33024
MutexQueue,overall,8,1,200000,65536,1600000,8.687039,184182.4,1600000,355493.8,361276,434976,514748,538877,545071
LockFreeQueue,overall,2,2,200000,65536,400000,0.066211,6041248.4,400000,55.6,56,149,209,234,245
MutexQueue,overall,2,2,200000,65536,400000,0.104504,3827618.3,400000,6013.8,5705,10839,12343,12492,12506
LockFreeQueue,overall,4,4,200000,65536,800000,0.219045,3652225.3,800000,4.5,0,3,113,267,289
MutexQueue,overall,4,4,200000,65536,800000,0.385261,2076512.0,800000,9480.5,8874,19128,21587,21763,21831
LockFreeQueue,overall,8,8,200000,65536,1600000,0.402517,3974983.9,1600000,3824.5,4481,4829,4981,5033,5269
MutexQueue,overall,8,8,200000,65536,1600000,0.681219,2348729.0,1600000,557.2,282,1664,2318,2496,2585
LockFreeQueue,overall,4,4,50000,65536,200000,0.055079,3631166.7,200000,185.5,3,680,828,866,876
MutexQueue,overall,4,4,50000,65536,200000,0.086755,2305351.4,200000,5183.9,5262,8750,9059,9109,9137
LockFreeQueue,overall,4,4,100000,65536,400000,0.086515,4623460.0,400000,457.9,475,582,606,611,623
MutexQueue,overall,4,4,100000,65536,400000,0.142994,2797314.0,400000,8738.6,9241,15511,16527,16686,16726
LockFreeQueue,overall,4,4,200000,65536,800000,0.288838,2769714.5,800000,68.3,2,219,900,975,1008
MutexQueue,overall,4,4,200000,65536,800000,0.388520,2059095.9,800000,25243.1,31064,35528,36783,37187,37375
LockFreeQueue,overall,4,4,400000,65536,1600000,0.535821,2986070.2,1600000,1804.7,4,6082,6692,6773,6796
MutexQueue,overall,4,4,400000,65536,1600000,0.777335,2058313.9,1600000,24045.3,28855,33886,35656,35820,35939
LockFreeQueue,overall,4,4,200000,65536,800000,0.229215,3490172.0,800000,1632.3,1585,3675,4438,4465,4481
MutexQueue,overall,4,4,200000,65536,800000,0.377920,2116848.5,800000,5245.3,5745,8465,8759,8845,8910
MutexList,insert,4,0,200000,0,800000,0.196306,4075275.1,800000,0.9,0,0,23,67,230
MutexList,pop_front,4,0,200000,0,800000,0.179085,4467151.7,800000,0.8,0,1,12,33,230
FineGrainedList,insert,4,0,200000,0,800000,0.198028,4039839.8,800000,0.9,0,1,17,59,596
FineGrainedList,pop_front,4,0,200000,0,800000,0.199764,4004716.6,800000,0.9,0,1,16,37,208
LockFreeQueue,overall,4,4,200000,1024,800000,0.211542,3781754.4,800000,88.1,42,254,325,345,416
MutexQueue,overall,4,4,200000,1024,800000,0.434928,1839385.7,800000,399.9,439,603,755,1674,2152
LockFreeQueue,overall,4,4,200000,4096,800000,0.194352,4116232.6,800000,60.3,44,154,237,292,308
MutexQueue,overall,4,4,200000,4096,800000,0.293895,2722057.8,800000,934.2,1041,1466,1767,1897,1985
LockFreeQueue,overall,4,4,200000,16384,800000,0.194001,4123700.0,800000,41.9,5,148,330,379,405
MutexQueue,overall,4,4,200000,16384,800000,0.302230,2646986.5,800000,4930.4,5633,6222,6717,6829,6886
LockFreeQueue,overall,4,4,200000,65536,800000,0.240320,3328897.6,800000,11668.5,12634,17944,18199,18299,18342
MutexQueue,overall,4,4,200000,65536,800000,0.373393,2142513.4,800000,15172.0,15541,26336,28895,29197,29241
MutexList,insert,1,0,200000,0,200000,0.016915,11823476.9,200000,0.1,0,0,0,2,50
MutexList,pop_front,1,0,200000,0,200000,0.013021,15360216.3,200000,0.0,0,0,0,0,51
FineGrainedList,insert,1,0,200000,0,200000,0.017905,11170300.0,200000,0.1,0,0,0,1,178
FineGrainedList,pop_front,1,0,200000,0,200000,0.011638,17184940.1,200000,0.0,0,0,0,0,18
MutexList,insert,2,0,200000,0,400000,0.077445,5164926.6,400000,0.3,0,0,14,26,203
MutexList,pop_front,2,0,200000,0,400000,0.124409,3215207.0,400000,0.6,0,0,2,18,189
FineGrainedList,insert,2,0,200000,0,400000,0.068814,5812808.5,400000,0.3,0,0,2,15,140
FineGrainedList,pop_front,2,0,200000,0,400000,0.097007,4123414.8,400000,0.5,0,0,2,16,206
MutexList,insert,4,0,200000,0,800000,0.186876,4280905.8,800000,0.9,0,0,23,71,333
MutexList,pop_front,4,0,200000,0,800000,0.185210,4319429.2,800000,0.8,0,1,13,35,250
FineGrainedList,insert,4,0,200000,0,800000,0.199732,4005370.3,800000,0.9,0,1,17,68,327
FineGrainedList,pop_front,4,0,200000,0,800000,0.180354,4435729.7,800000,0.8,0,1,15,36,278
MutexList,insert,8,0,200000,0,1600000,0.460152,3477115.0,1600000,2.2,0,4,36,71,1186
MutexList,pop_front,8,0,200000,0,1600000,0.683444,2341084.0,1600000,3.3,0,8,36,62,258
FineGrainedList,insert,8,0,200000,0,1600000,0.548908,2914876.6,1600000,2.6,0,5,42,132,626
FineGrainedList,pop_front,8,0,200000,0,1600000,0.708526,2258209.4,1600000,3.4,0,8,37,64,192
MutexList,insert,4,0,50000,0,200000,0.048706,4106293.4,200000,0.9,0,0,23,73,385
MutexList,pop_front,4,0,50000,0,200000,0.047683,4194408.9,200000,0.9,0,0,20,40,95
FineGrainedList,insert,4,0,50000,0,200000,0.047917,4173856.0,200000,0.8,0,0,19,54,155
FineGrainedList,pop_front,4,0,50000,0,200000,0.049518,4038905.6,200000,0.9,0,0,21,43,123
MutexList,insert,4,0,100000,0,400000,0.095726,4178597.7,400000,0.9,0,0,23,66,188
MutexList,pop_front,4,0,100000,0,400000,0.103901,3849802.7,400000,1.0,0,1,20,44,244
FineGrainedList,insert,4,0,100000,0,400000,0.095142,4204247.2,400000,0.9,0,1,16,54,430
FineGrainedList,pop_front,4,0,100000,0,400000,0.095340,4195518.5,400000,0.9,0,0,20,43,152
